date,difficulty,color,category,word_1,word_2,word_3,word_4
2023-07-01,Easiest,Yellow,GRAINS,BARLEY,OAT,RYE,SPELT
2023-07-01,Easy,Green,ROYAL TITLES,BARON,EARL,KING,PRINCE
2023-07-01,Medium,Blue,UNIVERSITIES,BROWN,DUKE,HOWARD,RICE
2023-07-01,Hard,Purple,BEST DIRECTOR OSCAR WINNERS,BONG,FORD,LEE,STONE
2023-07-02,Easiest,Yellow,MUSIC GENRES,JAZZ,POP,PUNK,RAP
2023-07-02,Easy,Green,WEB BROWSERS,CHROME,EDGE,OPERA,SAFARI
2023-07-02,Medium,Blue,LITTLE WOMEN SISTERS,AMY,BETH,JO,MEG
2023-07-02,Hard,Purple,LIL ___ RAPPERS,BABY,JON,KIM,WAYNE
2023-07-03,Easiest,Yellow,DOG BREEDS,BOXER,DALMATIAN,HUSKY,POODLE
2023-07-03,Easy,Green,ANIMAL NOSES,BEAK,MUZZLE,SNOUT,TRUNK
2023-07-03,Medium,Blue,TRAFFIC SIGNS,DETOUR,SLOW,STOP,YIELD
2023-07-03,Hard,Purple,SOUND ___,ASLEEP,BARRIER,BITE,WAVE
2023-07-04,Easiest,Yellow,60's BAND MEMBERS,BEACH BOY,BEATLE,BYRD,MONKEE
2023-07-04,Easy,Green,DANCE FADS,DOUGIE,MACARENA,MASHED POTATO,TWIST
2023-07-04,Medium,Blue,MAGAZINES,FORTUNE,ROLLING STONE,VOGUE,WIRED
2023-07-04,Hard,Purple,THINGS WITH LINKS,CHAIN,GOLF COURSE,SAUSAGE,WEBSITE
2023-07-05,Easiest,Yellow,CANDY BARS,BOUNTY,CRUNCH,HEATH,MILKY WAY
2023-07-05,Easy,Green,VIDEO GAME CONSOLES,DREAMCAST,GENESIS,SWITCH,WII
2023-07-05,Medium,Blue,EAR PARTS,ANVIL,COCHLEA,HAMMER,STIRRUP
2023-07-05,Hard,Purple,BAND NAMES MINUS NUMBERS,BLINK,MAROON,SUM,U
2023-07-06,Easiest,Yellow,DESSERTS,CHEESECAKE,FLAN,MOUSSE,TIRAMISU
2023-07-06,Easy,Green,MILD OATHS,DARN,FUDGE,HECK,SHOOT
2023-07-06,Medium,Blue,ANIMALS WITH TUSKS,ELEPHANT,HIPPO,NARWHAL,WARTHOG
2023-07-06,Hard,Purple,MUSTACHES,HANDLEBAR,HORSESHOE,PENCIL,WALRUS
2023-07-07,Easiest,Yellow,EUROPEAN COUNTRIES,DENMARK,GREECE,POLAND,PORTUGAL
2023-07-07,Easy,Green,SYNONYMS FOR IMITATE,COPY,ECHO,MIMIC,PARROT
2023-07-07,Medium,Blue,TOMS,CRUISE,HOLLAND,PETTY,WAITS
2023-07-07,Hard,Purple,WORDS SPELLED WITH ROMAN NUMERALS,DILL,LIVID,MILD,MIX
2023-07-08,Easiest,Yellow,HATS,BERET,BOWLER,FEDORA,FEZ
2023-07-08,Easy,Green,ORGANS,HEART,KIDNEY,LIVER,LUNG
2023-07-08,Medium,Blue,PARTS OF A BOOK,COVER,JACKET,PAGE,SPINE
2023-07-08,Hard,Purple,JACK ___,ASS,KNIFE,POT,RABBIT
2023-07-09,Easiest,Yellow,SEVEN DWARFS,BASHFUL,DOC,GRUMPY,HAPPY
2023-07-09,Easy,Green,FILE EXTENSIONS,GIF,PDF,TIFF,ZIP
2023-07-09,Medium,Blue,FLIGHTLESS BIRDS,EMU,KIWI,OSTRICH,PENGUIN
2023-07-09,Hard,Purple,TROPICAL FRUITS,BANANA,COCONUT,MANGO,PINEAPPLE
2023-07-10,Easiest,Yellow,WINGED INSECTS,FLY,GNAT,MOTH,WASP
2023-07-10,Easy,Green,ARITHMETIC OPERATIONS,ADD,DIVIDE,MULTIPLY,SUBTRACT
2023-07-10,Medium,Blue,FISH,TANG,TETRA,SKATE,SOLE
2023-07-10,Hard,Purple,___ CAT,ALLEY,COOL,COPY,LAP
2023-07-11,Easiest,Yellow,NFL PLAYERS,BRONCO,COWBOY,PACKER,RAVEN
2023-07-11,Easy,Green,PASTA SHAPES,BOWTIE,ELBOW,SHELL,SPIRAL
2023-07-11,Medium,Blue,JOINTS,HIP,KNEE,SHOULDER,WRIST
2023-07-11,Hard,Purple,"MOVIES WITH ""!""",AIRPLANE,MOTHER,OKLAHOMA,THEM
2023-07-12,Easiest,Yellow,VEGETABLES THAT ARE ALSO FRUITS,CUCUMBER,EGGPLANT,PEPPER,TOMATO
2023-07-12,Easy,Green,3-D SHAPES,CONE,CUBE,PYRAMID,SPHERE
2023-07-12,Medium,Blue,"WORDS WITH ""i""",MAC,PAD,PHONE,POD
2023-07-12,Hard,Purple,WORDS WITH TWO PRONUNCIATIONS,JOB,LIMA,MOBILE,POLISH
2023-07-13,Easiest,Yellow,SHOE PARTS,HEEL,LACE,SOLE,TONGUE
2023-07-13,Easy,Green,BOARD GAMES,CLUE,RISK,SORRY,TROUBLE
2023-07-13,Medium,Blue,FICTIONAL SPIES,BOND,HUNT,RYAN,SMART
2023-07-13,Hard,Purple,RUBBER ___,BAND,CEMENT,DUCKIE,SOUL
2023-07-14,Easiest,Yellow,BOATS,FERRY,JUNK,TUG,YACHT
2023-07-14,Easy,Green,SANDWICHES,CLUB,CUBAN,MELT,SUB
2023-07-14,Medium,Blue,CUTS OF BEEF,FLANK,LOIN,ROUND,SHANK
2023-07-14,Hard,Purple,NICKNAMES THAT ARE VERBS,CHUCK,JOSH,ROB,SUE
2023-07-15,Easiest,Yellow,PLEASANT SMELLS,AROMA,BOUQUET,FRAGRANCE,SCENT
2023-07-15,Easy,Green,MUSIC GENRES,BLUES,COUNTRY,FUNK,SOUL
2023-07-15,Medium,Blue,ROCK PAPER SCISSORS,PAPER,ROCK,SCISSORS,SHOOT
2023-07-15,Hard,Purple,MALE ANIMALS,BOAR,BUCK,BULL,JACK
2023-07-16,Easiest,Yellow,U.S. COINS,DIME,NICKEL,PENNY,QUARTER
2023-07-16,Easy,Green,METAL ELEMENTS,IRON,LEAD,TIN,ZINC
2023-07-16,Medium,Blue,LUCKY CHARMS MARSHMALLOWS,CLOVER,HORSESHOE,MOON,RAINBOW
2023-07-16,Hard,Purple,___ AND ___,AGAIN,HALF,NECK,SO
2023-07-17,Easiest,Yellow,MARSUPIALS,KANGAROO,KOALA,WALLABY,WOMBAT
2023-07-17,Easy,Green,CHOCOLATE BARS,CHUNKY,CRUNCH,MARS,MOUNDS
2023-07-17,Medium,Blue,SLANG FOR MONEY,CHEDDAR,DOUGH,PAPER,STACKS
2023-07-17,Hard,Purple,NAKED ___,EYE,GUN,MOLE RAT,TRUTH
2023-07-18,Easiest,Yellow,MARINE MAMMALS,DOLPHIN,MANATEE,OTTER,SEAL
2023-07-18,Easy,Green,BIKE PARTS,BRAKE,CHAIN,SADDLE,SPOKE
2023-07-18,Medium,Blue,SYNONYMS FOR SELL,HAWK,MOVE,PEDDLE,VEND
2023-07-18,Hard,Purple,"COUNTRIES WHEN ""A"" IS ADDED",CHIN,CUB,MALT,TONG
2023-07-19,Easiest,Yellow,TREES,ASH,CEDAR,MAPLE,PINE
2023-07-19,Easy,Green,LAND FORMATIONS,HILL,MOUNTAIN,PLATEAU,VALLEY
2023-07-19,Medium,Blue,BAGEL FLAVORS,EVERYTHING,ONION,PLAIN,POPPY
2023-07-19,Hard,Purple,STREETS ON SCREEN,ELM,FEAR,JUMP,SESAME
2023-07-20,Easiest,Yellow,TIMEKEEPING DEVICES,CLOCK,HOURGLASS,SUNDIAL,WATCH
2023-07-20,Easy,Green,HAIRSTYLES,BOB,CROP,PIXIE,SHAG
2023-07-20,Medium,Blue,UNITS OF MEASURE,HERTZ,MOLE,NEWTON,SECOND
2023-07-20,Hard,Purple,DR. ___,EVIL,J,NO,PEPPER
2023-07-21,Easiest,Yellow,WOODWINDS,BASSOON,CLARINET,FLUTE,OBOE
2023-07-21,Easy,Green,COVERINGS,CAP,COVER,LID,TOP
2023-07-21,Medium,Blue,SUNGLASSES,AVIATOR,CAT EYE,WAYFARER,WRAPAROUND
2023-07-21,Hard,Purple,SEALS,HARBOR,HARP,HOODED,MONK
2023-07-22,Easiest,Yellow,BOTTLED WATER BRANDS,DASANI,EVIAN,FIJI,VOSS
2023-07-22,Easy,Green,SLANG FOR COFFEE,BREW,JAVA,JOE,MUD
2023-07-22,Medium,Blue,ISLAND COUNTRIES,CUBA,JAPAN,MALTA,PALAU
2023-07-22,Hard,Purple,CEREAL MASCOTS,LUCKY,POP,SAM,TONY
2023-07-23,Easiest,Yellow,SCUBA GEAR,FINS,MASK,SNORKEL,TANK
2023-07-23,Easy,Green,PUNCTUATION MARKS,COLON,COMMA,HYPHEN,PERIOD
2023-07-23,Medium,Blue,RUN QUICKLY,BOLT,DASH,RACE,SPRINT
2023-07-23,Hard,Purple,___ CAT,DOJA,FAT,HOUSE,JUNGLE
2023-07-24,Easiest,Yellow,SYNONYMS FOR ANGRY,FURIOUS,INCENSED,IRATE,LIVID
2023-07-24,Easy,Green,THINGS THAT ARE YELLOW,BANANA,CANARY,SCHOOL BUS,SUNFLOWER
2023-07-24,Medium,Blue,MARINE BIRDS,BOOBY,GULL,PELICAN,PUFFIN
2023-07-24,Hard,Purple,___ BOYS,BEACH,BEASTIE,HARDY,LOST
2023-07-25,Easy,Green,EDIT MENU COMMANDS,COPY,CUT,PASTE,UNDO
2023-07-25,Medium,Blue,DEFEAT BADLY,CRUSH,ROUT,SHELLAC,TRASH
2023-07-25,Hard,Purple,ANAGRAMS,LEAST,SLATE,STALE,TESLA
2023-07-26,Easiest,Yellow,MODES OF TRANSPORTATION,BOAT,CAR,PLANE,TRAIN
2023-07-26,Easy,Green,NBA PLAYERS,KING,MAGIC,SUN,THUNDER
2023-07-26,Medium,Blue,FAST FOOD CHAINS,CHECKERS,OUTBACK,SONIC,SUBWAY
2023-07-26,Hard,Purple,BAND NAMES MINUS COLORS,DAY,FLOYD,SABBATH,STRIPES
2023-07-27,Easiest,Yellow,MOVIE TITLE CITIES,CHICAGO,MUNICH,PHILADELPHIA,RIO
2023-07-27,Easy,Green,FASHION MAGAZINES,ALLURE,ELLE,GLAMOUR,W
2023-07-27,Medium,Blue,STORMS,BLIZZARD,CYCLONE,SQUALL,TORNADO
2023-07-27,Hard,Purple,COCKTAILS,COSMOPOLITAN,HURRICANE,MANHATTAN,SCREWDRIVER
2023-07-28,Easiest,Yellow,BIOMES,DESERT,FOREST,GRASSLAND,TUNDRA
2023-07-28,Easy,Green,LIZARDS,CHAMELEON,GECKO,IGUANA,MONITOR
2023-07-28,Medium,Blue,YOGA POSES,COBRA,LOTUS,TREE,WARRIOR
2023-07-28,Hard,Purple,DANCES WHEN DOUBLED,CAN,CHA,GO,NAE
2023-07-29,Easiest,Yellow,FABRICS,CORDUROY,DENIM,LINEN,TWEED
2023-07-29,Easy,Green,APPARITIONS,GHOST,PHANTOM,SPECTER,SPIRIT
2023-07-29,Medium,Blue,SYNONYMS FOR BOTHER,NEEDLE,POKE,RIB,TEASE
2023-07-29,Hard,Purple,DISNEY CHARACTERS,BEAST,GENIE,SCAR,STITCH
2023-07-30,Easiest,Yellow,RELATIVES,AUNT,COUSIN,MOTHER,NEPHEW
2023-07-30,Easy,Green,SYNONYMS FOR OFFBEAT,DAFFY,KOOKY,QUIRKY,WACKY
2023-07-30,Medium,Blue,DISNEY DUCKS,DAISY,DEWEY,DONALD,SCROOGE
2023-07-30,Hard,Purple,___ CLOCK,ALARM,BIOLOGICAL,CUCKOO,GRANDFATHER
2023-07-31,Easiest,Yellow,UNITS OF LENGTH,FOOT,INCH,MILE,YARD
2023-07-31,Easy,Green,TYPES OF PAINT,ACRYLIC,OIL,TEMPERA,WATERCOLOR
2023-07-31,Medium,Blue,DEEP-FRIED FOOD,FALAFEL,KATSU,SAMOSA,SCHNITZEL
2023-07-31,Hard,Purple,STARTS OF U.S. COINS,DIM,NICK,PEN,QUART
2023-08-01,Easiest,Yellow,LONG SANDWICHES,HERO,HOAGIE,GRINDER,SUB
2023-08-01,Easy,Green,DATING APPS,BUMBLE,HINGE,MATCH,TINDER
2023-08-01,Medium,Blue,VAMPIRE MOVIES,BLADE,LOST BOYS,NEAR DARK,TWILIGHT
2023-08-01,Hard,Purple,ADAMS,ANT,DRIVER,SCOTT,WEST
2023-08-02,Easiest,Yellow,COMPUTER EQUIPMENT,KEYBOARD,MONITOR,MOUSE,SPEAKER
2023-08-02,Easy,Green,RODENTS,GERBIL,HAMSTER,RAT,VOLE
2023-08-02,Medium,Blue,MUSICAL INSTRUMENTS,HARP,HORN,ORGAN,TRIANGLE
2023-08-02,Hard,Purple,SYNONYMS FOR COMPLAIN,CARP,GRIPE,GROUSE,MOAN
2023-08-03,Easiest,Yellow,ANIMAL GROUP NAMES,COLONY,HERD,PRIDE,SWARM
2023-08-03,Easy,Green,STONED,BAKED,BLAZED,HIGH,LIT
2023-08-03,Medium,Blue,AP CLASSES,BIO,CHEM,GOV,STATS
2023-08-03,Hard,Purple,TAXONOMY RANKS,CLASS,DOMAIN,FAMILY,ORDER
2023-08-04,Easiest,Yellow,PLACES FOR WORSHIP,ALTAR,RELIQUARY,SHRINE,TEMPLE
2023-08-04,Easy,Green,CARTOON CATS,FELIX,GARFIELD,SYLVESTER,TOM
2023-08-04,Medium,Blue,PRESIDENTIAL FIRST NAMES,CALVIN,CHESTER,GROVER,HARRY
2023-08-04,Hard,Purple,___ ROAD,ABBEY,HIGH,ROCKY,SILK
2023-08-05,Easiest,Yellow,CLASSIC TOYS,BLOCKS,DOLL,TOP,YO
2023-08-05,Easy,Green,WORDS WITH THREE G'S,BAGGAGE,EGGNOG,GIGGLE,LEGGINGS
2023-08-05,Medium,Blue,SHAKESPEARE CHARACTERS,DUNCAN,JULIET,PUCK,VIOLA
2023-08-05,Hard,Purple,___ STICK,FISH,HOCKEY,MEMORY,SELFIE
2023-08-06,Easiest,Yellow,CLASSIC ARCADE GAMES,ASTEROIDS,BREAKOUT,FROGGER,PONG
2023-08-06,Easy,Green,DANCES,HUSTLE,SALSA,SWING,TANGO
2023-08-06,Medium,Blue,TOUCHSCREEN GESTURES,PINCH,SPREAD,SWIPE,TAP
2023-08-06,Hard,Purple,RAPPERS MINUS NUMBERS,CENT,CHAINZ,PAC,SAVAGE
2023-08-07,Easiest,Yellow,MOVIE GENRES,HORROR,MUSICAL,ROMANCE,WESTERN
2023-08-07,Easy,Green,PATTERNS,HOUNDSTOOTH,PAISLEY,PLAID,STRIPES
2023-08-07,Medium,Blue,SYNONYMS FOR FALSEHOOD,FIB,FICTION,LIE,TALE
2023-08-07,Hard,Purple,CANDY PIECES,DOT,GOOBER,KISS,WHOPPER
2023-08-08,Easiest,Yellow,ARACHNIDS,MITE,SCORPION,SPIDER,TICK
2023-08-08,Easy,Green,FISH,CHAR,EEL,PERCH,SHARK
2023-08-08,Medium,Blue,SUPERHEROES,BLACK WIDOW,BLADE,FLASH,STORM
2023-08-08,Hard,Purple,MTV SHOWS,CATFISH,CRIBS,JACKASS,STATE
2023-08-09,Easiest,Yellow,UNSPECIFIED QUANTITIES,FEW,HANDFUL,SEVERAL,SOME
2023-08-09,Easy,Green,CELESTIAL OBJECTS,ASTEROID,COMET,MOON,PLANET
2023-08-09,Medium,Blue,NEWSPAPERS,GLOBE,JOURNAL,POST,SUN
2023-08-09,Hard,Purple,FRUIT HOMOPHONES,LYME,MELLON,PAIR,PLUMB
2023-08-10,Easiest,Yellow,HORROR FRANCHISES,PURGE,RING,SAW,SCREAM
2023-08-10,Easy,Green,SPORTS VENUES,COURT,DIAMOND,FIELD,RINK
2023-08-10,Medium,Blue,MAKE HAPPY,CHARM,DELIGHT,PLEASE,TICKLE
2023-08-10,Hard,Purple,JEWELRY,ANKLET,BANGLE,BROOCH,PENDANT
2023-08-11,Easiest,Yellow,THEORETICAL PHYSICISTS,EINSTEIN,FEYNMAN,HAWKING,OPPENHEIMER
2023-08-11,Easy,Green,TALENT,FACULTY,FLAIR,GENIUS,GIFT
2023-08-11,Medium,Blue,AUSTRALIAN TERMS,BARBIE,BUSH,CRIKEY,MATE
2023-08-11,Hard,Purple,___ POINT,MATCH,MOOT,SELLING,WEST
2023-08-12,Easiest,Yellow,STATE ABBREVIATIONS,CO,MA,ME,PA
2023-08-12,Easy,Green,MUSICAL NOTES,DO,FA,LA,TI
2023-08-12,Medium,Blue,GREEK LETTERS,MU,NU,PI,XI
2023-08-12,Hard,Purple,PERIODIC TABLE SYMBOLS,FE,HE,NI,
2023-08-13,Easiest,Yellow,FASTENING VERBS,BUCKLE,BUTTON,SNAP,ZIP
2023-08-13,Easy,Green,SLANG FOR ZERO,JACK,NADA,NOTHING,SQUAT
2023-08-13,Medium,Blue,GYM EXERCISES,CURL,LUNGE,PLANK,PRESS
2023-08-13,Hard,Purple,CAPTAINS,CRUNCH,KANGAROO,OBVIOUS,PLANET
2023-08-14,Easiest,Yellow,CLASSIC DOG NAMES,FIDO,LUCKY,ROVER,SPOT
2023-08-14,Easy,Green,PERCEIVE,CATCH,NOTICE,OBSERVE,SEE
2023-08-14,Medium,Blue,FISHING TERMS,BAIT,CHUM,FLY,SINKER
2023-08-14,Hard,Purple,T-___,BONE,REX,SHIRT,STORM
2023-08-15,Easy,Green,ENERGY,JUICE,SPIRIT,STEAM,VIGOR
2023-08-15,Medium,Blue,CLASSICAL ELEMENTS,AIR,EARTH,FIRE,WATER
2023-08-15,Hard,Purple,THINGS WITH RINGS,CIRCUS,SATURN,TREE,WEDDING
2023-08-16,Easiest,Yellow,TIME PERIODS,CENTURY,DECADE,MILLENNIUM,YEAR
2023-08-16,Easy,Green,BREAKFAST FOODS,CEREAL,OMELET,PANCAKE,WAFFLE
2023-08-16,Medium,Blue,PAINTERS,BACON,CLOSE,MUNCH,WHISTLER
2023-08-16,Hard,Purple,ONE IN A DOZEN,EGG,JUROR,MONTH,ROSE
2023-08-17,Easiest,Yellow,DESSERTS,CAKE,COBBLER,PIE,TART
2023-08-17,Easy,Green,OCCUPATIONAL SURNAMES,FISHER,MASON,MILLER,SMITH
2023-08-17,Medium,Blue,ALTER DECEPTIVELY,DISTORT,DOCTOR,FUDGE,TWIST
2023-08-17,Hard,Purple,SQUARE ___,DANCE,MEAL,ONE,ROOT
2023-08-18,Easiest,Yellow,UNITS OF VOLUME,CUP,GALLON,PINT,QUART
2023-08-18,Easy,Green,EXTREMELY,AWFUL,QUITE,SUPER,VERY
2023-08-18,Medium,Blue,WORLD CURRENCIES,RAND,REAL,STERLING,WON
2023-08-18,Hard,Purple,___ CAKE,CARROT,COFFEE,POUND,SPONGE
2023-08-19,Easiest,Yellow,FRIEND,BUD,CHUM,MATE,PAL
2023-08-19,Easy,Green,COOKWEAR,CROCK,POT,SKILLET,WOK
2023-08-19,Medium,Blue,SHOES,CLOG,PUMP,SLIDE,WEDGE
2023-08-19,Hard,Purple,SLANG FOR CANNABIS,GRASS,HERB,MARY JANE,WEED
2023-08-20,Easiest,Yellow,CAMPING SUPPLIES,COOLER,LANTERN,SLEEPING BAG,TENT
2023-08-20,Easy,Green,INSULT,BARB,DIG,DISS,JAB
2023-08-20,Medium,Blue,TINY,MINUTE,SLIGHT,SMALL,WEE
2023-08-20,Hard,Purple,HAPPY ___,CAMPER,HOUR,MEAL,MEDIUM
2023-08-21,Easiest,Yellow,U.S. MOUNTAIN STATES,ARIZONA,COLORADO,NEVADA,UTAH
2023-08-21,Easy,Green,SODA BRANDS,CRUSH,MUG,SPRITE,SQUIRT
2023-08-21,Medium,Blue,CLASSIC ROCK BANDS,GENESIS,KANSAS,RUSH,YES
2023-08-21,Hard,Purple,TONY ___,HAWK,MONTANA,SOPRANO,STARK
2023-08-22,Easiest,Yellow,PERFORMING ARTISTS,ACTOR,DANCER,SINGER,STAND
2023-08-22,Easy,Green,SANTA'S REINDEER,COMET,CUPID,DASHER,VIXEN
2023-08-22,Medium,Blue,SEEN ON VALENTINE'S DAY,CARD,CHOCOLATE,HEART,ROSE
2023-08-22,Hard,Purple,"BAD ___ MOVIES""",BOYS,LIEUTENANT,SANTA,TASTE
2023-08-23,Easiest,Yellow,FACIAL HAIR,BEARD,GOATEE,MUSTACHE,STUBBLE
2023-08-23,Easy,Green,BIKE PARTS,GEAR,HANDLEBAR,PEDAL,WHEEL
2023-08-23,Medium,Blue,PURSUE,DOG,FOLLOW,TAIL,TRACK
2023-08-23,Hard,Purple,THINGS THAT ARE CAST,DOUBT,MOVIE,SHADOW,VOTE
2023-08-24,Easiest,Yellow,EXTINCT ANIMALS,DODO,MAMMOTH,MASTODON,TRILOBITE
2023-08-24,Easy,Green,FAILURES,BUSTS,FLOPS,MISSES,TURKEYS
2023-08-24,Medium,Blue,SLANG FOR CLOTHES,DUDS,GETUP,OUTFIT,THREADS
2023-08-24,Hard,Purple,KISS,PECK,SMACK,SMOOCH,X
2023-08-25,Easiest,Yellow,SOCIAL GATHERING,BASH,BLOWOUT,PARTY,SHINDIG
2023-08-25,Easy,Green,FOUND IN A KITCHEN,COUNTER,MIXER,RANGE,SINK
2023-08-25,Medium,Blue,“PINOCCHIO” FIGURES,CRICKET,PUPPET,WHALE,WOODCARVER
2023-08-25,Hard,Purple,EASTER ___,BUNNY,EGG,ISLAND,SUNDAY
2023-08-26,Easiest,Yellow,BOARD GAMES,RISK,SORRY,TABOO,TROUBLE
2023-08-26,Easy,Green,NEWSPAPER SECTIONS,BUSINESS,NATIONAL,OPINION,STYLE
2023-08-26,Medium,Blue,FIGURES IN GREEK MYTH,ATLAS,HERMES,NIKE,PARIS
2023-08-26,Hard,Purple,FIRST WORDS IN RAPPERS' NAMES,FOXY,GUCCI,KILLER,NOTORIOUS
2023-08-27,Easiest,Yellow,PIECES OF CHICKEN,BREAST,DRUMSTICK,TENDER,WING
2023-08-27,Easy,Green,GOLF TERMS,DRIVER,EAGLE,HOLE,STROKE
2023-08-27,Medium,Blue,DRUM SET COMPONENTS,CYMBAL,KICK,SNARE,TOM
2023-08-27,Hard,Purple,ASSOCIATED WITH “CRAWL”,INFANT,PUB,SWIMMING,TICKER
2023-08-28,Easiest,Yellow,STATES OF ELATION,BLISS,CLOUD NINE,HEAVEN,PARADISE
2023-08-28,Easy,Green,SCAM,CON,FAST ONE,HUSTLE,RACKET
2023-08-28,Medium,Blue,GREETING GESTURES,HIGH FIVE,HUG,SHAKE,WAVE
2023-08-28,Hard,Purple,___ LIST,BUCKET,GUEST,TOP TEN,WISH
2023-08-29,Easiest,Yellow,DEPART QUICKLY,BOOK,BOUNCE,RUN,SPLIT
2023-08-29,Easy,Green,ANIMALS THAT END WITH “X”,FOX,IBEX,LYNX,ORYX
